Pdose,Ndose,energy,model,Vd,Voltage,Current
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.05,0.00000000000000079360
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.0595,0.00000000000000118601
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.073433333,0.00000000000000208094
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.093868889,0.00000000000000461180
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.123841037,0.00000000000001442457
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.166801116,0.00000000000007313189
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.214301116,0.00000000000043961493
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.261801116,0.00000000000264407781
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.309301116,0.00000000001589417493
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.356801116,0.00000000009536154191
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.404301116,0.00000000056982545025
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.451801116,0.00000000337180402725
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.499301116,0.00000001936449962400
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.546801116,0.00000010121145037900
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.594301116,0.00000043226464998200
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.641801116,0.00000145767786739000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.689301116,0.00000408053841430000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.736801116,0.00000979462838651000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.784301116,0.00001968039785240000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.831801116,0.00003198096810230000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.879301116,0.00004314204771360000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.926801116,0.00005173033523110000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,0.974301116,0.00005835500106580000
1000000000000000.00000000000000000000,10000000000000000.00000000000000000000,15,Constant,0.05,1,0.00006140462128290000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.05,0.00000971180420014000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.0595,0.00001247445479060000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.073433333,0.00001708437644590000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.093868889,0.00002363439588680000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.123841037,0.00003324093257410000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.167800188,0.00004814323398220000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.215300188,0.00006446747852610000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.262800188,0.00008033266631280000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.310300188,0.00009547134312720000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.357800188,0.00010988979235400000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.405300188,0.00012369637405300000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.452800188,0.00013701162268200000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.500300188,0.00014993791122600000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.547800188,0.00016255506704400000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.595300188,0.00017492374303700000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.642800188,0.00018708986349600000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.690300188,0.00019908836354600000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.737800188,0.00021094600717000000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.785300188,0.00022268344596400000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.832800188,0.00023431671662800000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.880300188,0.00024585833599600000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.927800188,0.00025731810889300000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,0.975300188,0.00026870373007300000
1000000000000000.00000000000000000000,1000000000000000000.00000000000000000000,100,ChargedReact,0.05,1,0.00027459696371400000
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-1,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.98,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.950666667,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.907644444,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.844545185,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.751999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.651999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.551999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.451999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.351999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.251999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.151999605,-0.00000000000000000011
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,-0.051999605,0.00000000000000000001
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.048000395,0.00000000000000000055
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.148000395,0.00000000000000003409
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.248000395,0.00000000000000160425
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.298000395,0.00000000000001115241
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.307167062,0.00000000000001591052
10000000000000000000.00000000000000000000,10000000000000000.00000000000000000000,45,Constant,-1,0.312514284,0.00000000000001956327
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-1,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.98,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.95,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.905,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.8375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.7375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.6375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.5375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.4375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.3375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.2375,-0.00000000000000000012
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.1375,-0.00000000000000000013
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,-0.0375,-0.00000000000000000182
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.0625,0.00000000000000000130
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.1625,0.00000000000000005904
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.2625,0.00000000000000303674
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.3625,0.00000000000014509522
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.36875,0.00000000000018475799
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.371875,0.00000000000020847855
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.375,0.00000000000023525346
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.379270833,0.00000000000027749189
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.385107639,0.00000000000034774300
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.389193403,0.00000000000040725425
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.393415359,0.00000000000047946631
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.394787495,0.00000000000050558453
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.395793727,0.00000000000052564728
10000000000000000000.00000000000000000000,100000000000000000.00000000000000000000,75,ChargedReact,-1,0.396514861,0.00000000000054050938
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.05,0.00000000000005818781
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.0595,0.00000000000008668346
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.073433333,0.00000000000015092257
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.093868889,0.00000000000032844005
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.123841037,0.00000000000099048813
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.167800188,0.00000000000482054618
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.215300188,0.00000000002576549136
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.262800188,0.00000000013240165053
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.310300188,0.00000000064591201097
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.357800188,0.00000000293499324831
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.405300188,0.00000001210659162420
100000000000000.00000000000000000000,10000000000000000.00000000000000000000,60,Constant,0.05,0.452800188,0.00000004409863658890
